Name,Path,Version,Dev Dependency,Flagged,
babel-plugin-transform-class-constructor-call,,6.24.1,true,false,
babel-plugin-transform-class-properties,,6.24.1,true,false,
babel-plugin-transform-decorators,,6.24.1,true,false,
babel-plugin-transform-es2015-arrow-functions,,6.22.0,true,false,
babel-plugin-transform-es2015-block-scoped-functions,,6.22.0,true,false,
babel-plugin-transform-es2015-block-scoping,,6.26.0,true,false,
babel-plugin-transform-es2015-classes,,6.24.1,true,false,
babel-plugin-transform-es2015-computed-properties,,6.24.1,true,false,
babel-plugin-transform-es2015-destructuring,,6.23.0,true,false,
babel-plugin-transform-es2015-duplicate-keys,,6.24.1,true,false,
babel-plugin-transform-es2015-for-of,,6.23.0,true,false,
babel-plugin-transform-es2015-function-name,,6.24.1,true,false,
babel-plugin-transform-es2015-literals,,6.22.0,true,false,
babel-plugin-transform-es2015-modules-amd,,6.24.1,true,false,
babel-plugin-transform-es2015-modules-commonjs,,6.26.2,true,false,
babel-plugin-transform-es2015-modules-systemjs,,6.24.1,true,false,
babel-plugin-transform-es2015-modules-umd,,6.24.1,true,false,
babel-plugin-transform-es2015-object-super,,6.24.1,true,false,
babel-plugin-transform-es2015-parameters,,6.24.1,true,false,
babel-plugin-transform-es2015-shorthand-properties,,6.24.1,true,false,
babel-plugin-transform-es2015-spread,,6.22.0,true,false,
babel-plugin-transform-es2015-sticky-regex,,6.24.1,true,false,
babel-plugin-transform-es2015-template-literals,,6.22.0,true,false,
babel-plugin-transform-es2015-typeof-symbol,,6.23.0,true,false,
babel-plugin-transform-es2015-unicode-regex,,6.24.1,true,false,
babel-plugin-transform-exponentiation-operator,,6.24.1,true,false,
babel-plugin-transform-export-extensions,,6.22.0,true,false,
babel-plugin-transform-flow-strip-types,,6.22.0,true,false,
babel-plugin-transform-object-rest-spread,,6.26.0,true,false,
babel-plugin-transform-regenerator,,6.26.0,true,false,
babel-plugin-transform-strict-mode,,6.24.1,true,false,
babel-polyfill,,6.26.0,false,false,
babel-preset-es2015,,6.24.1,true,false,
babel-preset-jest,,23.2.0,true,false,
babel-preset-stage-1,,6.24.1,true,false,
babel-preset-stage-2,,6.24.1,true,false,
babel-preset-stage-3,,6.24.1,true,false,
babel-register,,6.26.0,true,false,
source-map,babel-register.source-map,0.5.7,true,false,
source-map-support,babel-register.source-map-support,0.4.18,true,false,
babel-runtime,,6.26.0,false,false,
regenerator-runtime,babel-runtime.regenerator-runtime,0.11.1,false,false,
babel-template,,6.26.0,true,false,
babel-traverse,,6.26.0,true,false,
debug,babel-traverse.debug,2.6.9,true,false,
babel-types,,6.26.0,true,false,
babylon,,6.18.0,true,false,
balanced-match,,1.0.0,true,false,
base,,0.11.2,true,false,
define-property,base.define-property,1.0.0,true,false,
is-accessor-descriptor,base.is-accessor-descriptor,1.0.0,true,false,
is-data-descriptor,base.is-data-descriptor,1.0.0,true,false,
is-descriptor,base.is-descriptor,1.0.2,true,false,
base64-js,,1.3.0,true,false,
batch,,0.6.1,true,false,
bcrypt-pbkdf,,1.0.2,true,false,
bfj-node4,,5.3.1,true,false,
big.js,,3.2.0,true,false,
binary-extensions,,1.11.0,true,false,
binaryextensions,,2.1.1,true,false,
block-stream,,0.0.9,true,false,
bluebird,,3.5.1,true,false,
bn.js,,4.11.8,true,false,
body-parser,,1.18.2,true,false,
debug,body-parser.debug,2.6.9,true,false,
iconv-lite,body-parser.iconv-lite,0.4.19,true,false,
qs,body-parser.qs,6.5.1,true,false,
bonjour,,3.5.0,true,false,
boolbase,,1.0.0,true,false,
brace-expansion,,1.1.11,true,false,
braces,,2.3.2,true,false,
extend-shallow,braces.extend-shallow,2.0.1,true,false,
brorand,,1.1.0,true,false,
browser-process-hrtime,,0.1.2,true,false,
browser-resolve,,1.11.3,true,false,
browserify-aes,,1.2.0,true,false,
browserify-cipher,,1.0.1,true,false,
browserify-des,,1.0.2,true,false,
browserify-rsa,,4.0.1,true,false,
browserify-sign,,4.0.4,true,false,
browserify-zlib,,0.2.0,true,false,
bs-logger,,0.2.5,true,false,
bser,,2.0.0,true,false,
buffer,,4.9.1,true,false,
buffer-alloc,,1.2.0,true,false,
buffer-alloc-unsafe,,1.1.0,true,false,
buffer-fill,,1.0.0,true,false,
buffer-from,,1.1.1,true,false,
buffer-indexof,,1.1.1,true,false,
buffer-xor,,1.0.3,true,false,
builtin-modules,,1.1.1,true,false,
builtin-status-codes,,3.0.0,true,false,
bytes,,3.0.0,true,false,
cacache,,10.0.4,true,false,
y18n,cacache.y18n,4.0.0,true,false,
cache-base,,1.0.1,true,false,
cacheable-request,,2.1.4,true,false,
lowercase-keys,cacheable-request.lowercase-keys,1.0.0,true,false,
normalize-url,cacheable-request.normalize-url,2.0.1,true,false,
prepend-http,cacheable-request.prepend-http,2.0.0,true,false,
query-string,cacheable-request.query-string,5.1.1,true,false,
sort-keys,cacheable-request.sort-keys,2.0.0,true,false,
call-me-maybe,,1.0.1,true,false,
callsites,,2.0.0,true,false,
camelcase,,1.2.1,true,false,
camelcase-keys,,2.1.0,true,false,
camelcase,camelcase-keys.camelcase,2.1.1,true,false,
capture-exit,,1.2.0,true,false,
caseless,,0.12.0,true,false,
center-align,,0.1.3,true,false,
chalk,,2.4.1,true,false,
change-emitter,,0.1.6,false,false,
chardet,,0.4.2,true,false,
check-types,,7.4.0,true,false,
cheerio,,1.0.0-rc.2,true,false,
chownr,,1.0.1,true,false,
chrome-trace-event,,0.1.3,true,false,
ci-info,,1.1.3,true,false,
cipher-base,,1.0.4,true,false,
class-utils,,0.3.6,true,false,
define-property,class-utils.define-property,0.2.5,true,false,
cli-cursor,,2.1.0,true,false,
cli-spinners,,0.1.2,true,false,
cli-table,,0.3.1,true,false,
colors,cli-table.colors,1.0.3,true,false,
cli-truncate,,0.2.1,true,false,
is-fullwidth-code-point,cli-truncate.is-fullwidth-code-point,1.0.0,true,false,
string-width,cli-truncate.string-width,1.0.2,true,false,
strip-ansi,cli-truncate.strip-ansi,3.0.1,true,false,
cli-width,,2.2.0,true,false,
cliui,,2.1.0,true,false,
wordwrap,cliui.wordwrap,0.0.2,true,false,
clone,,1.0.4,true,false,
clone-buffer,,1.0.0,true,false,
clone-deep,,2.0.2,true,false,
for-own,clone-deep.for-own,1.0.0,true,false,
clone-response,,1.0.2,true,false,
clone-stats,,0.0.1,true,false,
cloneable-readable,,1.1.2,true,false,
co,,4.6.0,true,false,
code-point-at,,1.1.0,true,false,
collection-visit,,1.0.0,true,false,
color,,3.0.0,true,false,
color-convert,,1.9.2,true,false,
color-name,,1.1.1,true,false,
color-string,,1.5.3,true,false,
colornames,,1.1.1,true,false,
colors,,1.3.1,true,false,
colorspace,,1.1.1,true,false,
combined-stream,,1.0.6,false,false,
commander,,2.17.1,true,false,
commondir,,1.0.1,true,false,
compare-versions,,3.3.0,true,false,
component-emitter,,1.2.1,true,false,
compressible,,2.0.14,true,false,
compression,,1.7.3,true,false,
debug,compression.debug,2.6.9,true,false,
concat-map,,0.0.1,true,false,
concat-stream,,1.6.2,true,false,
connect-history-api-fallback,,1.5.0,true,false,
console-browserify,,1.1.0,true,false,
console-control-strings,,1.1.0,true,false,
constants-browserify,,1.0.0,true,false,
content-disposition,,0.5.2,true,false,
content-type,,1.0.4,true,false,
convert-source-map,,1.5.1,true,false,
cookie,,0.3.1,true,false,
cookie-signature,,1.0.6,true,false,
copy-concurrently,,1.0.5,true,false,
copy-descriptor,,0.1.1,true,false,
core-js,,2.5.7,false,false,
core-util-is,,1.0.2,true,false,
create-ecdh,,4.0.3,true,false,
create-hash,,1.2.0,true,false,
create-hmac,,1.1.7,true,false,
cross-spawn,,5.1.0,true,false,
crypto-browserify,,3.12.0,true,false,
css-loader,,1.0.0,true,false,
css-select,,1.2.0,true,false,
css-selector-tokenizer,,0.7.0,true,false,
regexpu-core,css-selector-tokenizer.regexpu-core,1.0.0,true,false,
css-what,,2.1.0,true,false,
cssesc,,0.1.0,true,false,
cssom,,0.3.4,true,false,
cssstyle,,1.0.0,true,false,
csstype,,2.5.6,false,false,
currently-unhandled,,0.4.1,true,false,
cyclist,,0.2.2,true,false,
d,,1.0.0,true,false,
dargs,,5.1.0,true,false,
dashdash,,1.14.1,true,false,
data-urls,,1.0.0,true,false,
abab,data-urls.abab,1.0.4,true,false,
date-fns,,1.29.0,true,false,
date-now,,0.1.4,true,false,
dateformat,,3.0.3,true,false,
debug,,3.1.0,false,false,
decamelize,,1.2.0,true,false,
decode-uri-component,,0.2.0,true,false,
decompress-response,,3.3.0,true,false,
deep-diff,,0.3.8,false,false,
deep-equal,,1.0.1,true,false,
deep-extend,,0.6.0,true,false,
deep-is,,0.1.3,true,false,
deepmerge,,2.1.1,false,false,
default-require-extensions,,2.0.0,true,false,
define-properties,,1.1.2,true,false,
define-property,,2.0.2,true,false,
is-accessor-descriptor,define-property.is-accessor-descriptor,1.0.0,true,false,
is-data-descriptor,define-property.is-data-descriptor,1.0.0,true,false,
is-descriptor,define-property.is-descriptor,1.0.2,true,false,
delayed-stream,,1.0.0,false,false,
delegates,,1.0.0,true,false,
depd,,1.1.2,true,false,
des.js,,1.0.0,true,false,
destroy,,1.0.4,true,false,
detect-conflict,,1.0.1,true,false,
detect-indent,,4.0.0,true,false,
detect-newline,,2.1.0,true,false,
detect-node,,2.0.3,true,false,
diagnostics,,1.1.1,true,false,
diff,,3.5.0,true,false,
diffie-hellman,,5.0.3,true,false,
dir-glob,,2.0.0,true,false,
path-type,dir-glob.path-type,3.0.0,true,false,
pify,dir-glob.pify,3.0.0,true,false,
